frame,lat,lon,ele
89,43.36531851,-71.45922983,116.63875
90,43.36531609,-71.45921283,116.56
91,43.3653118925,-71.459197315,116.64
92,43.365307695,-71.4591818,116.72
93,43.3653034975,-71.459166285,116.8
94,43.365299300000004,-71.45915077000001,116.88
95,43.3652951025,-71.459135255,116.96000000000001
96,43.365290905,-71.45911974,117.04
97,43.3652867075,-71.459104225,117.12
98,43.36528251,-71.45908871,117.2
99,43.36527230285714,-71.45907774285715,117.34857142857143
100,43.365262095714286,-71.45906677571429,117.49714285714286
101,43.36525188857143,-71.45905580857143,117.64571428571429
102,43.36524168142857,-71.45904484142856,117.7942857142857
103,43.365231474285714,-71.45903387428571,117.94285714285714
104,43.36522126714286,-71.45902290714285,118.09142857142857
105,43.36521106,-71.45901194,118.24
106,43.36519869714286,-71.45900650857142,118.24857142857142
107,43.36518633428572,-71.45900107714286,118.25714285714285
108,43.365173971428575,-71.45899564571428,118.26571428571428
109,43.36516160857143,-71.45899021428572,118.27428571428571
110,43.365149245714285,-71.45898478285714,118.28285714285714
111,43.36513688285714,-71.45897935142858,118.29142857142857
112,43.36512452,-71.45897392,118.3
113,43.36511188714286,-71.45896861571428,118.24285714285715
114,43.36509925428572,-71.45896331142858,118.18571428571428
115,43.365086621428574,-71.45895800714285,118.12857142857143
116,43.365073988571424,-71.45895270285715,118.07142857142857
117,43.36506135571428,-71.45894739857142,118.01428571428572
118,43.36504872285714,-71.45894209428572,117.95714285714286
119,43.36503609,-71.45893679,117.9
120,43.3650245,-71.45892836285714,117.90142857142858
121,43.36501291,-71.45891993571428,117.90285714285714
122,43.36500132,-71.45891150857142,117.90428571428572
123,43.36498973,-71.45890308142857,117.90571428571428
124,43.36497814,-71.45889465428571,117.90714285714286
125,43.36496655,-71.45888622714286,117.90857142857142
126,43.36495496,-71.4588778,117.91
127,43.364945559999995,-71.45886404714285,117.99857142857142
128,43.36493616,-71.45885029428571,118.08714285714285
129,43.364926759999996,-71.45883654142857,118.17571428571428
130,43.36491736,-71.45882278857142,118.26428571428572
131,43.36490796,-71.45880903571428,118.35285714285715
132,43.36489856,-71.45879528285714,118.44142857142857
133,43.36488916,-71.45878153,118.53
134,43.36488057875,-71.4587700675,118.66125
135,43.364871997499996,-71.458758605,118.7925
136,43.364863416249996,-71.4587471425,118.92375
137,43.364854835,-71.45873567999999,119.055
138,43.36484625375,-71.45872421749999,119.18625
139,43.3648376725,-71.458712755,119.3175
